"AD","DOY","Date"
1002,NA,NA
1003,NA,NA
1004,117,"04-26"
1005,NA,NA
1006,100,"04-10"
1007,106,"04-16"
1008,NA,NA
1009,NA,NA
1010,NA,NA
1011,NA,NA
1012,NA,NA
1013,NA,NA
1014,115,"04-25"
1015,NA,NA
1016,111,"04-20"
1017,99,"04-09"
1018,113,"04-23"
1019,98,"04-08"
1020,NA,NA
1021,NA,NA
1022,NA,NA
1023,NA,NA
1024,NA,NA
1025,NA,NA
1026,NA,NA
1027,NA,NA
1028,NA,NA
1029,116,"04-26"
1030,NA,NA
1031,97,"04-07"
1032,111,"04-20"
1033,102,"04-12"
1034,96,"04-06"
1035,NA,NA
1036,104,"04-13"
1037,NA,NA
1038,NA,NA
1039,NA,NA
1040,NA,NA
1041,103,"04-13"
1042,NA,NA
1043,NA,NA
1044,NA,NA
1045,NA,NA
1046,103,"04-13"
1047,NA,NA
1048,112,"04-21"
1049,NA,NA
1050,105,"04-15"
1051,NA,NA
1052,NA,NA
1053,NA,NA
1054,NA,NA
1055,NA,NA
1056,NA,NA
1057,NA,NA
1058,NA,NA
1059,NA,NA
1060,108,"04-17"
1061,92,"04-02"
1062,NA,NA
1063,NA,NA
1064,NA,NA
1065,NA,NA
1066,105,"04-15"
1067,NA,NA
1068,NA,NA
1069,NA,NA
1070,NA,NA
1071,113,"04-23"
1072,NA,NA
1073,103,"04-13"
1074,NA,NA
1075,NA,NA
1076,NA,NA
1077,NA,NA
1078,NA,NA
1079,NA,NA
1080,102,"04-11"
1081,NA,NA
1082,NA,NA
1083,96,"04-06"
1084,120,"04-29"
1085,NA,NA
1086,NA,NA
1087,NA,NA
1088,104,"04-13"
1089,NA,NA
1090,105,"04-15"
1091,NA,NA
1092,NA,NA
1093,105,"04-15"
1094,NA,NA
1095,100,"04-10"
1096,96,"04-05"
1097,NA,NA
1098,100,"04-10"
1099,103,"04-13"
1100,NA,NA
1101,NA,NA
1102,104,"04-14"
1103,NA,NA
1104,108,"04-17"
1105,114,"04-24"
1106,NA,NA
1107,105,"04-15"
1108,NA,NA
1109,NA,NA
1110,NA,NA
1111,113,"04-23"
1112,104,"04-13"
1113,NA,NA
1114,100,"04-10"
1115,NA,NA
1116,NA,NA
1117,109,"04-19"
1118,102,"04-12"
1119,NA,NA
1120,104,"04-13"
1121,NA,NA
1122,NA,NA
1123,112,"04-22"
1124,98,"04-07"
1125,111,"04-21"
1126,108,"04-18"
1127,107,"04-17"
1128,111,"04-20"
1129,106,"04-16"
1130,103,"04-13"
1131,103,"04-13"
1132,NA,NA
1133,NA,NA
1134,106,"04-16"
1135,NA,NA
1136,NA,NA
1137,NA,NA
1138,NA,NA
1139,113,"04-23"
1140,103,"04-12"
1141,111,"04-21"
1142,NA,NA
1143,110,"04-20"
1144,NA,NA
1145,107,"04-17"
1146,NA,NA
1147,NA,NA
1148,NA,NA
1149,NA,NA
1150,NA,NA
1151,109,"04-19"
1152,NA,NA
1153,NA,NA
1154,96,"04-06"
1155,NA,NA
1156,90,"03-30"
1157,NA,NA
1158,NA,NA
1159,103,"04-13"
1160,NA,NA
1161,112,"04-22"
1162,NA,NA
1163,112,"04-22"
1164,100,"04-09"
1165,106,"04-16"
1166,95,"04-05"
1167,111,"04-21"
1168,NA,NA
1169,112,"04-22"
1170,113,"04-23"
1171,NA,NA
1172,103,"04-12"
1173,117,"04-27"
1174,112,"04-22"
1175,113,"04-23"
1176,113,"04-22"
1177,NA,NA
1178,NA,NA
1179,103,"04-13"
1180,98,"04-07"
1181,NA,NA
1182,104,"04-14"
1183,101,"04-11"
1184,115,"04-24"
1185,115,"04-25"
1186,NA,NA
1187,104,"04-14"
1188,107,"04-16"
1189,NA,NA
1190,112,"04-22"
1191,106,"04-16"
1192,NA,NA
1193,NA,NA
1194,119,"04-29"
1195,NA,NA
1196,NA,NA
1197,NA,NA
1198,NA,NA
1199,109,"04-19"
1200,104,"04-13"
1201,96,"04-06"
1202,106,"04-16"
1203,105,"04-15"
1204,110,"04-19"
1205,105,"04-15"
1206,NA,NA
1207,104,"04-14"
1208,NA,NA
1209,NA,NA
1210,112,"04-22"
1211,NA,NA
1212,98,"04-07"
1213,107,"04-17"
1214,102,"04-12"
1215,108,"04-18"
1216,101,"04-10"
1217,NA,NA
1218,NA,NA
1219,101,"04-11"
1220,109,"04-18"
1221,99,"04-09"
1222,NA,NA
1223,116,"04-26"
1224,NA,NA
1225,105,"04-15"
1226,106,"04-16"
1227,111,"04-21"
1228,NA,NA
1229,97,"04-07"
1230,102,"04-12"
1231,101,"04-11"
1232,92,"04-01"
1233,105,"04-15"
1234,NA,NA
1235,110,"04-20"
1236,87,"03-27"
1237,NA,NA
1238,NA,NA
1239,NA,NA
1240,106,"04-15"
1241,NA,NA
1242,NA,NA
1243,NA,NA
1244,108,"04-17"
1245,108,"04-18"
1246,98,"04-08"
1247,106,"04-16"
1248,NA,NA
1249,108,"04-18"
1250,116,"04-26"
1251,100,"04-10"
1252,NA,NA
1253,NA,NA
1254,110,"04-20"
1255,NA,NA
1256,NA,NA
1257,94,"04-04"
1258,NA,NA
1259,96,"04-06"
1260,NA,NA
1261,NA,NA
1262,97,"04-07"
1263,120,"04-30"
1264,103,"04-12"
1265,98,"04-08"
1266,NA,NA
1267,105,"04-15"
1268,103,"04-12"
1269,100,"04-10"
1270,NA,NA
1271,100,"04-10"
1272,NA,NA
1273,NA,NA
1274,NA,NA
1275,107,"04-17"
1276,NA,NA
1277,NA,NA
1278,113,"04-23"
1279,101,"04-11"
1280,102,"04-11"
1281,NA,NA
1282,NA,NA
1283,103,"04-13"
1284,102,"04-11"
1285,105,"04-15"
1286,112,"04-22"
1287,110,"04-20"
1288,108,"04-17"
1289,107,"04-17"
1290,NA,NA
1291,NA,NA
1292,107,"04-16"
1293,NA,NA
1294,101,"04-11"
1295,102,"04-12"
1296,NA,NA
1297,NA,NA
1298,NA,NA
1299,NA,NA
1300,NA,NA
1301,95,"04-05"
1302,96,"04-06"
1303,NA,NA
1304,NA,NA
1305,NA,NA
1306,NA,NA
1307,104,"04-14"
1308,NA,NA
1309,NA,NA
1310,NA,NA
1311,94,"04-04"
1312,100,"04-09"
1313,NA,NA
1314,101,"04-11"
1315,111,"04-21"
1316,103,"04-12"
1317,102,"04-12"
1318,NA,NA
1319,116,"04-26"
1320,NA,NA
1321,102,"04-12"
1322,106,"04-16"
1323,124,"05-04"
1324,98,"04-07"
1325,NA,NA
1326,107,"04-17"
1327,NA,NA
1328,NA,NA
1329,112,"04-22"
1330,108,"04-18"
1331,112,"04-22"
1332,115,"04-24"
1333,NA,NA
1334,NA,NA
1335,NA,NA
1336,NA,NA
1337,NA,NA
1338,NA,NA
1339,NA,NA
1340,NA,NA
1341,NA,NA
1342,110,"04-20"
1343,NA,NA
1344,102,"04-11"
1345,NA,NA
1346,107,"04-17"
1347,109,"04-19"
1348,NA,NA
1349,112,"04-22"
1350,101,"04-11"
1351,115,"04-25"
1352,NA,NA
1353,NA,NA
1354,NA,NA
1355,NA,NA
1356,117,"04-26"
1357,107,"04-17"
1358,110,"04-20"
1359,105,"04-15"
1360,101,"04-10"
1361,108,"04-18"
1362,NA,NA
1363,107,"04-17"
1364,110,"04-19"
1365,NA,NA
1366,112,"04-22"
1367,97,"04-07"
1368,88,"03-28"
1369,94,"04-04"
1370,109,"04-19"
1371,NA,NA
1372,102,"04-11"
1373,110,"04-20"
1374,NA,NA
1375,103,"04-13"
1376,99,"04-08"
1377,105,"04-15"
1378,104,"04-14"
1379,103,"04-13"
1380,102,"04-11"
1381,108,"04-18"
1382,105,"04-15"
1383,102,"04-12"
1384,98,"04-07"
1385,99,"04-09"
1386,105,"04-15"
1387,100,"04-10"
1388,99,"04-08"
1389,NA,NA
1390,NA,NA
1391,NA,NA
1392,NA,NA
1393,NA,NA
1394,NA,NA
1395,NA,NA
1396,NA,NA
1397,NA,NA
1398,106,"04-16"
1399,NA,NA
1400,NA,NA
1401,101,"04-11"
1402,103,"04-13"
1403,104,"04-14"
1404,NA,NA
1405,NA,NA
1406,102,"04-12"
1407,101,"04-11"
1408,111,"04-20"
1409,86,"03-27"
1410,102,"04-12"
1411,NA,NA
1412,93,"04-02"
1413,91,"04-01"
1414,NA,NA
1415,105,"04-15"
1416,101,"04-10"
1417,109,"04-19"
1418,98,"04-08"
1419,100,"04-10"
1420,112,"04-21"
1421,99,"04-09"
1422,109,"04-19"
1423,96,"04-06"
1424,103,"04-12"
1425,98,"04-08"
1426,99,"04-09"
1427,102,"04-12"
1428,NA,NA
1429,98,"04-08"
1430,108,"04-18"
1431,102,"04-12"
1432,104,"04-13"
1433,98,"04-08"
1434,113,"04-23"
1435,95,"04-05"
1436,101,"04-10"
1437,103,"04-13"
1438,99,"04-09"
1439,101,"04-11"
1440,98,"04-07"
1441,105,"04-15"
1442,NA,NA
1443,107,"04-17"
1444,109,"04-18"
1445,NA,NA
1446,108,"04-18"
1447,111,"04-21"
1448,96,"04-05"
1449,95,"04-05"
1450,100,"04-10"
1451,103,"04-13"
1452,92,"04-01"
1453,107,"04-17"
1454,105,"04-15"
1455,96,"04-06"
1456,106,"04-15"
1457,105,"04-15"
1458,112,"04-22"
1459,113,"04-23"
1460,111,"04-20"
1461,106,"04-16"
1462,106,"04-16"
1463,101,"04-11"
1464,104,"04-13"
1465,98,"04-08"
1466,105,"04-15"
1467,101,"04-11"
1468,101,"04-10"
1469,NA,NA
1470,NA,NA
1471,NA,NA
1472,114,"04-23"
1473,NA,NA
1474,98,"04-08"
1475,NA,NA
1476,100,"04-09"
1477,110,"04-20"
1478,115,"04-25"
1479,110,"04-20"
1480,104,"04-13"
1481,106,"04-16"
1482,108,"04-18"
1483,101,"04-11"
1484,97,"04-06"
1485,94,"04-04"
1486,99,"04-09"
1487,93,"04-03"
1488,103,"04-12"
1489,100,"04-10"
1490,97,"04-07"
1491,107,"04-17"
1492,108,"04-17"
1493,100,"04-10"
1494,106,"04-16"
1495,94,"04-04"
1496,97,"04-06"
1497,108,"04-18"
1498,97,"04-07"
1499,111,"04-21"
1500,97,"04-07"
1501,103,"04-13"
1502,115,"04-25"
1503,108,"04-18"
1504,114,"04-23"
1505,106,"04-16"
1506,106,"04-16"
1507,108,"04-18"
1508,111,"04-20"
1509,102,"04-12"
1510,110,"04-20"
1511,111,"04-21"
1512,109,"04-18"
1513,110,"04-20"
1514,105,"04-15"
1515,111,"04-21"
1516,104,"04-13"
1517,106,"04-16"
1518,115,"04-25"
1519,111,"04-21"
1520,105,"04-14"
1521,107,"04-17"
1522,103,"04-13"
1523,109,"04-19"
1524,109,"04-18"
1525,104,"04-14"
1526,113,"04-23"
1527,105,"04-15"
1528,106,"04-15"
1529,107,"04-17"
1530,107,"04-17"
1531,103,"04-13"
1532,108,"04-17"
1533,111,"04-21"
1534,108,"04-18"
1535,95,"04-05"
1536,108,"04-17"
1537,108,"04-18"
1538,112,"04-22"
1539,120,"04-30"
1540,122,"05-01"
1541,109,"04-19"
1542,102,"04-12"
1543,119,"04-29"
1544,107,"04-16"
1545,97,"04-07"
1546,112,"04-22"
1547,104,"04-14"
1548,118,"04-27"
1549,117,"04-27"
1550,111,"04-21"
1551,109,"04-19"
1552,104,"04-13"
1553,119,"04-29"
1554,NA,NA
1555,101,"04-11"
1556,120,"04-29"
1557,93,"04-03"
1558,111,"04-21"
1559,96,"04-06"
1560,100,"04-09"
1561,102,"04-12"
1562,99,"04-09"
1563,99,"04-09"
1564,109,"04-18"
1565,114,"04-24"
1566,97,"04-07"
1567,108,"04-18"
1568,106,"04-15"
1569,NA,NA
1570,112,"04-22"
1571,108,"04-18"
1572,107,"04-16"
1573,NA,NA
1574,98,"04-08"
1575,NA,NA
1576,109,"04-18"
1577,100,"04-10"
1578,NA,NA
1579,102,"04-12"
1580,97,"04-06"
1581,105,"04-15"
1582,NA,NA
1583,108,"04-18"
1584,106,"04-15"
1585,105,"04-15"
1586,106,"04-16"
1587,105,"04-15"
1588,106,"04-15"
1589,105,"04-15"
1590,102,"04-12"
1591,94,"04-04"
1592,98,"04-07"
1593,113,"04-23"
1594,93,"04-03"
1595,111,"04-21"
1596,104,"04-13"
1597,114,"04-24"
1598,110,"04-20"
1599,103,"04-13"
1600,101,"04-10"
1601,93,"04-03"
1602,107,"04-17"
1603,99,"04-09"
1604,95,"04-04"
1605,105,"04-15"
1606,106,"04-16"
1607,110,"04-20"
1608,NA,NA
1609,108,"04-18"
1610,110,"04-20"
1611,NA,NA
1612,87,"03-27"
1613,106,"04-16"
1614,103,"04-13"
1615,110,"04-20"
1616,122,"05-01"
1617,107,"04-17"
1618,102,"04-12"
1619,93,"04-03"
1620,NA,NA
1621,109,"04-19"
1622,106,"04-16"
1623,113,"04-23"
1624,112,"04-21"
1625,95,"04-05"
1626,100,"04-10"
1627,NA,NA
1628,104,"04-13"
1629,112,"04-22"
1630,NA,NA
1631,NA,NA
1632,104,"04-13"
1633,98,"04-08"
1634,96,"04-06"
1635,97,"04-07"
1636,NA,NA
1637,105,"04-15"
1638,105,"04-15"
1639,108,"04-18"
1640,103,"04-12"
1641,117,"04-27"
1642,114,"04-24"
1643,114,"04-24"
1644,105,"04-14"
1645,99,"04-09"
1646,87,"03-28"
1647,112,"04-22"
1648,NA,NA
1649,104,"04-14"
1650,102,"04-12"
1651,107,"04-17"
1652,107,"04-16"
1653,112,"04-22"
1654,104,"04-14"
1655,104,"04-14"
1656,103,"04-12"
1657,NA,NA
1658,108,"04-18"
1659,NA,NA
1660,111,"04-20"
1661,93,"04-03"
1662,110,"04-20"
1663,105,"04-15"
1664,105,"04-14"
1665,112,"04-22"
1666,108,"04-18"
1667,112,"04-22"
1668,110,"04-19"
1669,104,"04-14"
1670,102,"04-12"
1671,116,"04-26"
1672,112,"04-21"
1673,105,"04-15"
1674,115,"04-25"
1675,111,"04-21"
1676,103,"04-12"
1677,96,"04-06"
1678,109,"04-19"
1679,114,"04-24"
1680,109,"04-18"
1681,110,"04-20"
1682,104,"04-14"
1683,108,"04-18"
1684,118,"04-27"
1685,106,"04-16"
1686,104,"04-14"
1687,104,"04-14"
1688,114,"04-23"
1689,97,"04-07"
1690,93,"04-03"
1691,103,"04-13"
1692,109,"04-18"
1693,107,"04-17"
1694,109,"04-19"
1695,120,"04-30"
1696,114,"04-23"
1697,111,"04-21"
1698,101,"04-11"
1699,97,"04-07"
1700,116,"04-26"
1701,112,"04-22"
1702,116,"04-26"
1703,103,"04-13"
1704,113,"04-22"
1705,109,"04-19"
1706,115,"04-25"
1707,111,"04-21"
1708,103,"04-12"
1709,106,"04-16"
1710,NA,NA
1711,NA,NA
1712,NA,NA
1713,104,"04-14"
1714,108,"04-18"
1715,107,"04-17"
1716,110,"04-19"
1717,98,"04-08"
1718,102,"04-12"
1719,102,"04-12"
1720,114,"04-23"
1721,95,"04-05"
1722,100,"04-10"
1723,104,"04-14"
1724,99,"04-08"
1725,106,"04-16"
1726,116,"04-26"
1727,112,"04-22"
1728,104,"04-13"
1729,105,"04-15"
1730,NA,NA
1731,104,"04-14"
1732,108,"04-17"
1733,107,"04-17"
1734,102,"04-12"
1735,101,"04-11"
1736,106,"04-15"
1737,93,"04-03"
1738,101,"04-11"
1739,110,"04-20"
1740,115,"04-24"
1741,109,"04-19"
1742,109,"04-19"
1743,108,"04-18"
1744,98,"04-07"
1745,105,"04-15"
1746,110,"04-20"
1747,101,"04-11"
1748,96,"04-05"
1749,100,"04-10"
1750,110,"04-20"
1751,103,"04-13"
1752,110,"04-19"
1753,96,"04-06"
1754,115,"04-25"
1755,120,"04-30"
1756,109,"04-18"
1757,112,"04-22"
1758,101,"04-11"
1759,109,"04-19"
1760,103,"04-12"
1761,89,"03-30"
1762,106,"04-16"
1763,112,"04-22"
1764,98,"04-07"
1765,106,"04-16"
1766,113,"04-23"
1767,101,"04-11"
1768,117,"04-26"
1769,105,"04-15"
1770,105,"04-15"
1771,104,"04-14"
1772,106,"04-15"
1773,100,"04-10"
1774,110,"04-20"
1775,99,"04-09"
1776,108,"04-17"
1777,104,"04-14"
1778,111,"04-21"
1779,96,"04-06"
1780,109,"04-18"
1781,91,"04-01"
1782,109,"04-19"
1783,103,"04-13"
1784,105,"04-14"
1785,108,"04-18"
1786,106,"04-16"
1787,105,"04-15"
1788,109,"04-18"
1789,106,"04-16"
1790,119,"04-29"
1791,99,"04-09"
1792,101,"04-10"
1793,106,"04-16"
1794,104,"04-14"
1795,113,"04-23"
1796,103,"04-12"
1797,97,"04-07"
1798,110,"04-20"
1799,103,"04-13"
1800,103,"04-13"
1801,105,"04-15"
1802,96,"04-06"
1803,110,"04-20"
1804,104,"04-13"
1805,93,"04-03"
1806,114,"04-24"
1807,116,"04-26"
1808,98,"04-07"
1809,107,"04-17"
1810,100,"04-10"
1811,110,"04-20"
1812,120,"04-29"
1813,107,"04-17"
1814,113,"04-23"
1815,111,"04-21"
1816,103,"04-12"
1817,110,"04-20"
1818,106,"04-16"
1819,106,"04-16"
1820,95,"04-04"
1821,109,"04-19"
1822,102,"04-12"
1823,106,"04-16"
1824,108,"04-17"
1825,114,"04-24"
1826,109,"04-19"
1827,100,"04-10"
1828,113,"04-22"
1829,112,"04-22"
1830,105,"04-15"
1831,114,"04-24"
1832,113,"04-22"
1833,107,"04-17"
1834,111,"04-21"
1835,112,"04-22"
1836,112,"04-21"
1837,111,"04-21"
1838,109,"04-19"
1839,120,"04-30"
1840,105,"04-14"
1841,107,"04-17"
1842,96,"04-06"
1843,106,"04-16"
1844,106,"04-15"
1845,102,"04-12"
1846,98,"04-08"
1847,107,"04-17"
1848,102,"04-11"
1849,100,"04-10"
1850,109,"04-19"
1851,102,"04-12"
1852,113,"04-22"
1853,102,"04-12"
1854,102,"04-12"
1855,101,"04-11"
1856,111,"04-20"
1857,108,"04-18"
1858,104,"04-14"
1859,110,"04-20"
1860,113,"04-22"
1861,100,"04-10"
1862,117,"04-27"
1863,118,"04-28"
1864,105,"04-14"
1865,97,"04-07"
1866,102,"04-12"
1867,101,"04-11"
1868,104,"04-13"
1869,105,"04-15"
1870,99,"04-09"
1871,104,"04-14"
1872,NA,NA
1873,104,"04-14"
1874,107,"04-17"
1875,103,"04-13"
1876,111,"04-20"
1877,104,"04-14"
1878,101,"04-11"
1879,102,"04-12"
1880,110,"04-19"
1881,112,"04-22"
1882,97,"04-07"
1883,107,"04-17"
1884,109,"04-18"
1885,113,"04-23"
1886,108,"04-18"
1887,109,"04-19"
1888,107,"04-16"
1889,109,"04-19"
1890,98,"04-08"
1891,99,"04-09"
1892,115,"04-24"
1893,109,"04-19"
1894,98,"04-08"
1895,NA,NA
1896,106,"04-15"
1897,106,"04-16"
1898,108,"04-18"
1899,99,"04-09"
1900,102,"04-12"
1901,102,"04-12"
1902,98,"04-08"
1903,99,"04-09"
1904,108,"04-17"
1905,105,"04-15"
1906,105,"04-15"
1907,103,"04-13"
1908,102,"04-11"
1909,108,"04-18"
1910,104,"04-14"
1911,98,"04-08"
1912,105,"04-14"
1913,103,"04-13"
1914,102,"04-12"
1915,102,"04-12"
1916,112,"04-21"
1917,103,"04-13"
1918,104,"04-14"
1919,NA,NA
1920,104,"04-13"
1921,NA,NA
1922,101,"04-11"
1923,97,"04-07"
1924,111,"04-20"
1925,108,"04-18"
1926,108,"04-18"
1927,107,"04-17"
1928,107,"04-16"
1929,103,"04-13"
1930,95,"04-05"
1931,105,"04-15"
1932,105,"04-14"
1933,106,"04-16"
1934,104,"04-14"
1935,102,"04-12"
1936,111,"04-20"
1937,100,"04-10"
1938,98,"04-08"
1939,104,"04-14"
1940,110,"04-19"
1941,100,"04-10"
1942,96,"04-06"
1943,101,"04-11"
1944,100,"04-09"
1945,NA,NA
1946,97,"04-07"
1947,107,"04-17"
1948,102,"04-11"
1949,107,"04-17"
1950,99,"04-09"
1951,98,"04-08"
1952,105,"04-14"
1953,101,"04-11"
1954,98,"04-08"
1955,97,"04-07"
1956,99,"04-08"
1957,103,"04-13"
1958,99,"04-09"
1959,92,"04-02"
1960,95,"04-04"
1961,99,"04-09"
1962,102,"04-12"
1963,101,"04-11"
1964,99,"04-08"
1965,110,"04-20"
1966,97,"04-07"
1967,97,"04-07"
1968,99,"04-08"
1969,101,"04-11"
1970,107,"04-17"
1971,98,"04-08"
1972,99,"04-08"
1973,97,"04-07"
1974,99,"04-09"
1975,100,"04-10"
1976,99,"04-08"
1977,93,"04-03"
1978,104,"04-14"
1979,97,"04-07"
1980,102,"04-11"
1981,99,"04-09"
1982,93,"04-03"
1983,99,"04-09"
1984,109,"04-18"
1985,99,"04-09"
1986,102,"04-12"
1987,95,"04-05"
1988,106,"04-15"
1989,93,"04-03"
1990,88,"03-29"
1991,97,"04-07"
1992,94,"04-03"
1993,97,"04-07"
1994,99,"04-09"
1995,99,"04-09"
1996,103,"04-12"
1997,97,"04-07"
1998,91,"04-01"
1999,94,"04-04"
2000,100,"04-09"
2001,96,"04-06"
2002,91,"04-01"
2003,98,"04-08"
2004,92,"04-01"
2005,99,"04-09"
2006,98,"04-08"
2007,97,"04-07"
2008,95,"04-04"
2009,95,"04-05"
2010,95,"04-05"
2011,99,"04-09"
2012,101,"04-10"
2013,93,"04-03"
2014,94,"04-04"
2015,93,"04-03"
